Game,Team,OPS,Temp,Rain,Wind
2021-04-19,PHI,0.5247678,,,
2021-04-19,WSN,0.60558069,,,
2021-04-19,BOS,1.18421053,,,
2021-04-19,LAA,0.6879085,,,
2021-04-19,SDP,0.29282407,,,
2021-04-19,KCR,0.42083333,,,
2021-04-20,NYY,0.60446248,,,
2021-04-20,WSN,0.68768473,,,
2021-04-20,KCR,0.79722222,,,
2021-04-20,SDP,0.37647059,,,
2021-04-20,CLE,0.69562243,,,
2021-04-20,MIA,0.67543859,,,
2021-04-20,OAK,0.9704301,,,
2021-04-20,CHC,0.43697479,,,
2021-04-20,OAK,0.57272727,,,
2021-04-20,SEA,0.13571429,,,
2021-04-20,BOS,0.78787879,,,
2021-04-20,LAA,0.95686274,,,
2021-04-20,CIN,0.61072261,,,
2021-04-20,PHI,0.87619047,,,
2021-04-20,COL,0.90466532,,,
2021-04-21,DET,1.01217391,,,
2021-04-21,OAK,0.96834457,,,
2021-04-21,KCR,0.94197138,,,
2021-04-21,COL,0.93665541,,,
2021-04-21,SDP,0.63636363,,,
2021-04-21,DET,0.40969899,,,
2021-04-21,CHC,0.98888889,,,
2021-04-21,CIN,0.76522436,,,
2021-04-21,MIA,0.69696969,,,
2021-04-21,LAA,0.90840841,,,
2021-04-21,BOS,0.83333333,,,
2021-04-21,PHI,0.89124839,,,
2021-04-21,WSN,0.41428571,,,
2021-04-21,NYY,0.45858762,,,
2021-04-22,CIN,1.0814394,,,
2021-04-22,CHC,0.57603687,,,
2021-04-22,LAD,0.7035473,,,
2021-04-22,BOS,0.66302952,,,
2021-04-22,SFG,0.51904762,,,
2021-04-22,CLE,0.56871345,,,
2021-04-22,HOU,0.87844611,,,
2021-04-22,DET,0.69444444,,,
2021-04-23,CHC,1.425,,,
2021-04-23,BOS,0.85413534,,,
2021-04-23,HOU,0.59795322,,,
2021-04-23,COL,0.99099099,,,
2021-04-23,DET,0.5256167,,,
2021-04-23,ATL,0.89493087,,,
2021-04-23,STL,0.66078432,,,
2021-04-23,NYM,0.86532508,,,
2021-04-23,CLE,0.48294931,,,
2021-04-23,CHW,0.97748593,,,
2021-04-23,LAD,0.43711967,,,
2021-04-23,BAL,0.58677098,,,
2021-04-23,TBR,0.4809221,,,
2021-04-23,MIN,0.57142857,,,
2021-04-23,SFG,0.81919851,,,
2021-04-24,BOS,0.53274682,,,
2021-04-24,NYM,0.53839286,,,
2021-04-24,DET,0.3,,,
2021-04-24,LAD,0.78168498,,,
2021-04-24,CHC,0.69814241,,,
2021-04-24,CHW,0.65535714,,,
2021-04-24,CLE,0.32903226,,,
2021-04-24,STL,0.51470588,,,
2021-04-24,BAL,0.65840841,,,
2021-04-24,TBR,0.64154412,,,
2021-04-24,SFG,0.51008065,,,
2021-04-24,MIN,0.31818182,,,
2021-04-24,HOU,1.35714286,,,
2021-04-24,COL,0.73232323,,,
2021-04-25,SFG,0.68095238,,,
2021-04-25,HOU,0.54056795,,,
2021-04-25,BAL,0.97575758,,,
2021-04-25,CLE,0.76286765,,,
2021-04-25,ATL,0,,,
2021-04-25,COL,1.13702074,,,
2021-04-25,CHC,0.35416667,,,
2021-04-25,TBR,0.40625,,,
2021-04-25,MIN,0.58080808,,,
2021-04-25,STL,0.82862903,,,
2021-04-25,BOS,0.69004525,,,
2021-04-25,ATL,0.21428572,,,
2021-04-25,LAD,0.85797342,,,
2021-04-25,CHW,1.00075758,,,
2021-04-25,DET,0.34879032,,,
2021-04-25,NYM,0.89959432,,,
2021-04-26,LAD,0.62745098,,,
2021-04-26,BAL,0.9235023,,,
2021-04-26,STL,0.23271889,,,
2021-04-26,CLE,0.78947368,,,
2021-04-26,MIL,0.51612904,,,
2021-04-26,SFG,0.94285714,,,
2021-04-26,ATL,0.98739496,,,
2021-04-26,HOU,0.83397684,,,
2021-04-26,DET,0.77857143,,,
2021-04-26,TBR,0.47132617,,,
2021-04-26,TEX,0.5625,,,
2021-04-27,TOR,1.01658986,,,
2021-04-27,CHW,0.55108359,,,
2021-04-27,MIL,0.99642857,,,
2021-04-27,PIT,0.57157258,,,
2021-04-27,HOU,0.60267857,,,
2021-04-27,LAD,0.58306452,,,
2021-04-27,ATL,0.81611722,,,
2021-04-27,BAL,0.53972154,,,
2021-04-27,TEX,0.93358634,,,
2021-04-27,SFG,0.76768293,,,
2021-04-27,TBR,0.86718146,,,
2021-04-27,CLE,1.00961538,,,
2021-04-27,STL,0.77777777,,,
2021-04-27,ARI,0.5483871,,,
2021-04-27,NYM,0.5625,,,
2021-04-28,ARI,0.72321429,,,
2021-04-28,STL,0.76010101,,,
2021-04-28,BAL,0.29462365,,,
2021-04-28,CLE,0.46306818,,,
2021-04-28,ATL,1.34761905,,,
2021-04-28,PIT,0.81428572,,,
2021-04-28,HOU,0.62335526,,,
2021-04-28,TBR,0.76666666,,,
2021-04-28,LAD,0.86186931,,,
2021-04-28,NYM,0.28354978,,,
2021-04-28,SFG,0.78402904,,,
2021-04-28,TEX,0.58874459,,,
2021-04-28,TOR,0.625,,,
2021-04-28,MIL,0.59375,,,
2021-04-29,TEX,0.71666667,,,
2021-04-29,STL,0.46394687,,,
2021-04-29,MIL,0.50319285,,,
2021-04-29,CHW,0.60434783,,,
2021-04-29,TBR,0.61402027,,,
2021-04-29,ARI,0.94256757,,,
2021-04-29,BAL,0.60089286,,,
2021-04-29,ATL,0.63063063,,,
2021-04-29,CHW,1.21048321,,,
2021-04-29,HOU,0.24047619,,,
2021-04-30,ARI,0.90902255,,,
2021-04-30,WSN,0.7204301,,,
2021-04-30,TEX,0.4847973,,,
2021-04-30,PHI,0.32589286,,,
2021-04-30,SDP,0.66543779,,,
2021-04-30,CIN,0.90555556,,,
2021-04-30,PIT,0.49420849,,,
2021-04-30,MIL,0.64746544,,,
2021-04-30,SEA,0.9902439,,,
2021-04-30,TBR,0.5160473,,,
2021-04-30,CHW,0.52102102,,,
2021-04-30,TOR,1.33508772,,,
2021-04-30,OAK,0.57232143,,,
2021-04-30,NYY,1.30722154,,,
2021-04-30,MIN,0.95626577,,,
2021-05-01,NYY,0.66586538,,,
2021-05-01,PHI,0.63071896,,,
2021-05-01,ARI,0.82670906,,,
2021-05-01,CHW,0.65740741,,,
2021-05-01,TOR,0.8015873,,,
2021-05-01,CIN,0.50822368,,,
2021-05-01,MIL,0.76208378,,,
2021-05-01,MIN,0.57657657,,,
2021-05-01,SEA,0.59633699,,,
2021-05-01,TBR,0.36213235,,,
2021-05-01,TEX,1.06254827,,,
2021-05-01,WSN,0.88461538,,,
2021-05-01,OAK,0.75357143,,,
2021-05-01,PIT,0.63233082,,,
2021-05-01,SDP,0.76190476,,,
2021-05-02,ARI,0.87878788,,,
2021-05-02,MIL,0.7761438,,,
2021-05-02,PIT,0.51410658,,,
2021-05-02,TBR,0.68817204,,,
2021-05-02,CHW,0.37903226,,,
2021-05-02,SEA,0.50347222,,,
2021-05-02,NYY,0.29670329,,,
2021-05-02,CIN,1.2893617,,,
2021-05-02,PHI,0.7934066,,,
2021-05-02,OAK,0.95441176,,,
2021-05-02,TOR,0.88270676,,,
2021-05-02,SDP,0.59285714,,,
2021-05-02,TEX,0.72727272,,,
2021-05-02,WSN,0.86511156,,,
2021-05-02,MIN,1.21235521,,,
2021-05-03,SDP,0.35384615,,,
2021-05-03,SEA,0.48181818,,,
2021-05-03,PHI,0.65,,,
2021-05-03,KCR,0.8998708,,,
2021-05-03,OAK,0.96953405,,,
2021-05-03,STL,1,,,
2021-05-03,LAA,0.80628803,,,
2021-05-03,MIN,0.73161765,,,
2021-05-04,CHC,0.81547619,,,
2021-05-04,COL,0.67816092,,,
2021-05-04,CHC,0.91586538,,,
2021-05-04,LAA,0.56964286,,,
2021-05-04,PHI,0.80645162,,,
2021-05-04,SDP,0.33491461,,,
2021-05-04,MIN,0.47445887,,,
2021-05-04,COL,0.96060606,,,
2021-05-04,WSN,0.40909091,,,
2021-05-04,BOS,1.15147626,,,
2021-05-04,KCR,0.78754579,,,
2021-05-04,MIA,0.96616541,,,
2021-05-04,SEA,0.76731601,,,
2021-05-04,CIN,0.29464286,,,
2021-05-04,OAK,0.668357,,,
2021-05-04,NYY,0.84527439,,,
2021-05-05,SDP,0.74529074,,,
2021-05-05,MIA,0.80392157,,,
2021-05-05,BOS,0.68115942,,,
2021-05-05,COL,0.54975369,,,
2021-05-05,STL,0.84605912,,,
2021-05-05,OAK,0.69117647,,,
2021-05-05,NYY,0.86186931,,,
2021-05-05,CHC,0.60467836,,,
2021-05-05,LAA,0.62777778,,,
2021-05-05,PHI,0.52962963,,,
2021-05-05,CIN,0.54210526,,,
2021-05-05,MIN,0.68954249,,,
2021-05-05,KCR,0.72586873,,,
2021-05-05,WSN,0.7249104,,,
2021-05-05,SEA,0,,,
2021-05-05,STL,0.81329423,,,
2021-05-06,LAA,0.61742424,,,
2021-05-06,STL,0.19677419,,,
2021-05-06,NYY,0.8126935,,,
2021-05-06,MIA,0.61430396,,,
2021-05-06,MIN,0.57518797,,,
2021-05-06,WSN,0.65686274,,,
2021-05-06,BOS,0.90261628,,,
2021-05-06,OAK,0.64761904,,,
2021-05-06,KCR,0.40263691,,,
2021-05-06,PHI,0.51152074,,,
2021-05-07,STL,0.71925133,,,
2021-05-07,DET,0.63063063,,,
2021-05-07,ATL,0.47782258,,,
2021-05-07,SFG,0.69047619,,,
2021-05-07,KCR,0.48571429,,,
2021-05-07,BAL,0.83119658,,,
2021-05-07,MIA,0.89848197,,,
2021-05-07,NYY,0.66607143,,,
2021-05-07,OAK,0.64895636,,,
2021-05-07,NYM,0.61868687,,,
2021-05-07,HOU,1.14285715,,,
2021-05-07,LAA,1.11695906,,,
2021-05-07,CLE,0.03448276,,,
2021-05-07,TEX,0.87142857,,,
2021-05-07,CHC,0.63292548,,,
2021-05-08,MIA,0.48484848,,,
2021-05-08,KCR,0.55902778,,,
2021-05-08,SFG,1.05731523,,,
2021-05-08,LAA,0.76254827,,,
2021-05-08,CLE,0.81881533,,,
2021-05-08,HOU,0.66666667,,,
2021-05-08,CHC,0.44324971,,,
2021-05-08,ATL,0.82363977,,,
2021-05-08,DET,1.11755952,,,
2021-05-08,TEX,1.0959707,,,
2021-05-08,STL,0.97856615,,,
2021-05-08,OAK,0.77593722,,,
2021-05-08,BAL,0.77073907,,,
2021-05-08,NYY,0.5,,,
2021-05-08,NYM,0.61554622,,,
2021-05-09,CHC,0.49242424,,,
2021-05-09,OAK,0.58680556,,,
2021-05-09,MIA,0.50794912,,,
2021-05-09,NYY,0.71616541,,,
2021-05-09,STL,0.74288425,,,
2021-05-09,LAA,0.52262931,,,
2021-05-09,NYM,0.58468468,,,
2021-05-09,KCR,0.54444445,,,
2021-05-09,SFG,0.63063063,,,
2021-05-09,TEX,1.03187803,,,
2021-05-09,ATL,0.94375,,,
2021-05-09,HOU,1.04880067,,,
2021-05-09,BAL,0.54444445,,,
2021-05-10,HOU,0.82539682,,,
2021-05-10,PIT,0.60035843,,,
2021-05-10,SFG,0.60829494,,,
2021-05-10,ARI,0.85898617,,,
2021-05-10,BAL,0.87191651,,,
2021-05-11,NYM,0.68392857,,,
2021-05-11,ATL,0.68138528,,,
2021-05-11,SFG,0.49285714,,,
2021-05-11,COL,0.27126436,,,
2021-05-11,TBR,0.41515151,,,
2021-05-11,CHW,1.0250896,,,
2021-05-11,WSN,0.63122172,,,
2021-05-11,LAD,0.87878788,,,
2021-05-11,BOS,0.41515151,,,
2021-05-11,HOU,0.75178571,,,
2021-05-11,PIT,0.86842105,,,
2021-05-11,ARI,1.26897019,,,
2021-05-11,DET,0.90096618,,,
2021-05-11,MIL,0.53588516,,,
2021-05-11,CLE,0.59975369,,,
2021-05-12,LAD,0.84722222,,,
2021-05-12,DET,0.65803571,,,
2021-05-12,MIL,0.64495798,,,
2021-05-12,PIT,0.41995842,,,
2021-05-12,WSN,0.65232558,,,
2021-05-12,ATL,0.48713235,,,
2021-05-12,ARI,0.54545454,,,
2021-05-12,NYM,0.74509804,,,
2021-05-12,TBR,0.33333333,,,
2021-05-12,CHW,1.15238679,,,
2021-05-12,COL,0.75294118,,,
2021-05-12,BOS,0.53125,,,
2021-05-12,COL,0.76166328,,,
2021-05-12,HOU,1.10135135,,,
2021-05-12,CLE,0.63682432,,,
2021-05-13,MIL,0.48294931,,,
2021-05-13,SEA,0.41386555,,,
2021-05-13,TBR,0.97285067,,,
2021-05-13,DET,0.7437276,,,
2021-05-13,ARI,0.43529412,,,
2021-05-13,BOS,1.04962406,,,
2021-05-13,WSN,0.74791667,,,
2021-05-13,PIT,0.46306818,,,
2021-05-13,COL,1.16456457,,,
2021-05-13,ATL,0.59220779,,,
2021-05-13,CHW,0.75686274,,,
2021-05-13,HOU,0.77591973,,,
2021-05-14,CHW,0.59415584,,,
2021-05-14,SDP,0.67174796,,,
2021-05-14,HOU,0.82251082,,,
2021-05-14,ARI,0.46212121,,,
2021-05-14,BOS,0.8172043,,,
2021-05-14,MIL,0.73847377,,,
2021-05-14,COL,1.13888889,,,
2021-05-14,BAL,0.76883116,,,
2021-05-14,SEA,1.09285714,,,
2021-05-14,TBR,0.71180556,,,
2021-05-14,CHW,0.84666667,,,
2021-05-14,TOR,0.51111111,,,
2021-05-14,LAD,0.88461538,,,
2021-05-14,MIN,0.59047619,,,
2021-05-14,PIT,0.50898588,,,
2021-05-14,DET,0.52955665,,,
2021-05-15,MIL,0.37815126,,,
2021-05-15,TOR,0.75546218,,,
2021-05-15,LAD,0.60902255,,,
2021-05-15,PIT,1.11388889,,,
2021-05-15,CHW,0.46394687,,,
2021-05-15,TBR,1.05641026,,,
2021-05-15,SDP,1.25858124,,,
2021-05-15,DET,0.82672139,,,
2021-05-15,ARI,1.01111111,,,
2021-05-15,BOS,1.12123552,,,
2021-05-15,HOU,1.01045296,,,
2021-05-15,COL,0.58796764,,,
2021-05-15,MIN,0.78627451,,,
2021-05-15,SEA,0.93199651,,,
2021-05-15,BAL,0.53079179,,,
2021-05-16,TOR,1.27954545,,,
2021-05-16,SDP,0.67059891,,,
2021-05-16,HOU,0.61458333,,,
2021-05-16,COL,0.66785714,,,
2021-05-16,SEA,0.62837838,,,
2021-05-16,BOS,0.78301159,,,
2021-05-16,MIL,0.93888889,,,
2021-05-16,PIT,0.53972154,,,
2021-05-16,LAD,0.65840841,,,
2021-05-16,TBR,1.00879765,,,
2021-05-16,CHW,0.86617647,,,
2021-05-16,BAL,0.97345768,,,
2021-05-16,ARI,0.35416667,,,
2021-05-16,DET,0.57575757,,,
2021-05-16,MIN,0.90873016,,,
2021-05-17,TEX,0.85686274,,,
2021-05-17,SDP,0.92383293,,,
2021-05-17,LAD,0.67816092,,,
2021-05-17,MIN,0.75675676,,,
2021-05-17,CHC,1.04991088,,,
2021-05-17,SEA,0.46012931,,,
2021-05-17,ATL,0.36236559,,,
2021-05-17,LAA,0.83900929,,,
2021-05-17,CIN,0.77777777,,,
2021-05-18,STL,0.81955485,,,
2021-05-18,OAK,0.97187759,,,
2021-05-18,PHI,0.91124661,,,
2021-05-18,SEA,0.06896552,,,
2021-05-18,MIN,0.80769231,,,
2021-05-18,LAA,0.77229438,,,
2021-05-18,CIN,0.68954249,,,
2021-05-18,CHC,1.05089286,,,
2021-05-18,KCR,0.42241379,,,
2021-05-18,TOR,1.09926262,,,
2021-05-18,SDP,0.46470588,,,
2021-05-18,ATL,0.65464896,,,
2021-05-18,TEX,0.67171717,,,
2021-05-18,BAL,0.6498708,,,
2021-05-18,LAD,0.97345768,,,
2021-05-19,PHI,0.62756598,,,
2021-05-19,TEX,0.03571429,,,
2021-05-19,SDP,0.75,,,
2021-05-19,SEA,0.50982143,,,
2021-05-19,STL,0.81686047,,,
2021-05-19,MIN,0.33986175,,,
2021-05-19,OAK,0.29032258,,,
2021-05-19,CIN,0.32543103,,,
2021-05-19,CHC,0.68627451,,,
2021-05-19,KCR,0.71347249,,,
2021-05-19,TOR,0.84712838,,,
2021-05-19,LAD,0.61428571,,,
2021-05-19,ATL,0.90540541,,,
2021-05-19,LAA,0.56695992,,,
2021-05-19,BAL,0.94672657,,,
2021-05-20,CHC,0.8126935,,,
2021-05-20,ATL,0.68040541,,,
2021-05-20,TEX,0.43087121,,,
2021-05-20,PHI,0.384535,,,
2021-05-20,LAA,0.48397436,,,
2021-05-20,BAL,0.43571429,,,
2021-05-20,TOR,0.77389277,,,
2021-05-20,LAA,1.1174968,,,
2021-05-20,LAD,0.74942529,,,
2021-05-20,CIN,0.73245614,,,
2021-05-20,OAK,0.89215686,,,
2021-05-21,WSN,0.8622291,,,
2021-05-21,CLE,0.38181818,,,
2021-05-21,STL,0.57582583,,,
2021-05-21,SDP,1.25,,,
2021-05-21,NYY,0.59375,,,
2021-05-21,CIN,1.10241935,,,
2021-05-21,KCR,0.71396397,,,
2021-05-21,SFG,0.27647059,,,
2021-05-21,TEX,0.76444159,,,
2021-05-21,TOR,0.83111111,,,
2021-05-21,MIA,0.67536782,,,
2021-05-21,LAA,0.7929293,,,
2021-05-21,PHI,0.6097973,,,
2021-05-21,ATL,1.69156504,,,
2021-05-21,COL,0.97794118,,,
2021-05-22,PHI,0.71893939,,,
2021-05-22,STL,0.6,,,
2021-05-22,WSN,1.00834824,,,
2021-05-22,ATL,1.01474202,,,
2021-05-22,COL,0.83868093,,,
2021-05-22,CLE,0.85135135,,,
2021-05-22,SFG,0.62756598,,,
2021-05-22,LAA,0.43181818,,,
2021-05-22,KCR,0.79773322,,,
2021-05-22,CIN,0.66666666,,,
2021-05-22,TOR,0.54377881,,,
2021-05-22,SDP,0.82667876,,,
2021-05-22,TEX,0.89523809,,,
2021-05-22,MIA,0.59726295,,,
2021-05-22,NYY,0.88571429,,,
2021-05-23,MIA,0.54009216,,,
2021-05-23,TEX,0.56875,,,
2021-05-23,WSN,0.8935299,,,
2021-05-23,SDP,0.96425458,,,
2021-05-23,KCR,0.54907162,,,
2021-05-23,NYY,0.67873303,,,
2021-05-23,LAA,0.81919851,,,
2021-05-23,CLE,0.80020704,,,
2021-05-23,ATL,0.84204672,,,
2021-05-23,SFG,0.67132867,,,
2021-05-23,TOR,0.72190611,,,
2021-05-23,STL,0.57142858,,,
2021-05-23,CIN,0.78571429,,,
2021-05-23,COL,0.76634768,,,
2021-05-23,PHI,0.88927638,,,
2021-05-24,NYM,0.46666666,,,
2021-05-24,CHW,0.74712643,,,
2021-05-24,MIA,1.07120743,,,
2021-05-24,MIL,0.73732251,,,
2021-05-24,TOR,0.88636364,,,
2021-05-24,MIN,0.93720191,,,
2021-05-24,DET,0.77761837,,,
2021-05-24,OAK,0.56470588,,,
2021-05-25,CHW,0.79166667,,,
